S No,Product_Name,Product_Author,Book_Format,Sales_Price,Product_Rating,Genre,State,Region,Date,Cost_Price,Page_Count
0,Lessons in Chemistry,Bonnie Garmus,Paperback,9.99,5,Sci-Fi,Missouri,Midwest,1/1/2023,7.74,250
1,Demon Copperhead,Barbara Kingsolver,Paperback,10.4,5,Romance,Virginia,South,1/1/2023,8.06,95
2,It Ends With Us,Colleen Hoover,Paperback,62,5,Comedy,Texas,South,1/1/2023,48.05,551
3,Yellowface,Rebecca F Kuang,Hardcover,16.9,4.5,Poetry,California,West,1/1/2023,13.1,169
4,It Starts with Us,Colleen Hoover,Hardcover,14.9,5,Sci-Fi,South Carolina,South,1/1/2023,11.55,119
5,Lessons,Ian McEwan,Paperback,10.2,5,Sci-Fi,Missouri,Midwest,1/1/2023,7.9,76
6,The Guilty Couple,C.L. Taylor,Paperback,8.99,4.5,Sci-Fi,Illinois,Midwest,1/1/2023,6.97,162
7,The Maid,Nita Prose,Digital,8.99,4.5,Poetry,Massachusetts,Northeast,1/1/2023,6.97,
8,The Last Devil To Die,Richard Osman,Hardcover,22,4.5,Fantasy,Utah,West,1/1/2023,17.05,92
9,Shrines of Gaiety,Kate Atkinson,Paperback,10.4,4.5,Sci-Fi,California,West,1/1/2023,8.06,114
10,Trespasses,Louise Kennedy,Paperback,8.99,4.5,Romance,Oklahoma,South,1/1/2023,6.97,139
11,The Thursday Murder Club,Richard Osman,Paperback,9.99,4.5,Fantasy,Michigan,Midwest,1/1/2023,7.74,166
12,The Man Who Died Twice,Richard Osman,Paperback,44,4.5,Poetry,Missouri,Midwest,1/1/2023,34.1,290
13,Happy Place,Emily Henry,Hardcover,14.9,5,Thriller,North Carolina,South,1/1/2023,11.55,117
14,How to Kill Your Family,Bella Mackie,Digital,86,4.5,Thriller,Ohio,Midwest,1/1/2023,66.65,
15,Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Paperback,8.99,4.5,Fantasy,Virginia,South,1/1/2023,6.97,190
16,Wrong Place Wrong Time,Gillian McAllister,Paperback,8.99,4.5,Thriller,New York,Northeast,1/1/2023,6.97,146
17,The Midnight Library,Matt Haig,Paperback,9.99,5,Non Fiction,Illinois,Midwest,1/1/2023,7.74,103
18,Where the Crawdads Sing,Delia Owens,Paperback,9.99,5,Sci-Fi,New Jersey,Northeast,1/1/2023,7.74,153
19,The Marlow Murder Club,Robert Thorogood,Paperback,8.99,4.5,Poetry,New Jersey,Northeast,1/1/2023,6.97,189
20,One of the Girls,Lucy Clarke,Paperback,94,4.5,Non Fiction,California,West,1/1/2023,72.85,377
21,Still Life,Sarah Winman,Paperback,8.99,4.5,Poetry,California,West,1/1/2023,6.97,101
22,Between Us,Mhairi McFarlane,Digital,8.99,5,Sci-Fi,Illinois,Midwest,1/1/2023,6.97,
23,Violeta,Isabel Allende,Paperback,8.99,5,Thriller,Pennsylvania,Northeast,1/1/2023,6.97,134
24,Cleopatra and Frankenstein,Coco Mellors,Paperback,10.4,4.5,Sci-Fi,South Dakota,Midwest,1/1/2023,8.06,98
25,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Hardcover,10.4,4.5,Sci-Fi,Illinois,Midwest,1/1/2023,8.06,89
26,Everything's Fine,Cecilia Rabess,Hardcover,16.9,4,Sci-Fi,New York,Northeast,1/1/2023,13.1,135
27,The Paper Palace,Miranda Cowley Heller,Paperback,9.99,4.5,Sci-Fi,California,West,1/1/2023,7.74,83
28,The Secret Life of an Uncool Mum,Serena Terry,Paperback,8.99,5,Sci-Fi,Florida,South,1/1/2023,6.97,152
29,Things We Never Got Over,Lucy Score,Digital,9.64,5,Thriller,Iowa,Midwest,1/1/2023,7.47,
30,No Plan B,Lee Child,Paperback,10.4,5,Fantasy,West Virginia,South,1/1/2023,8.06,131
31,A Little Life,Hanya Yanagihara,Paperback,10.9,5,Comedy,California,West,1/1/2023,8.45,154
32,All the Light We Cannot See,Anthony Doerr,Audio,9.99,4.5,Comedy,California,West,1/1/2023,7.74,
33,Landlines,Raynor Winn,Paperback,10.9,5,Thriller,New York,Northeast,1/1/2023,8.45,134
34,Magpie,Elizabeth Day,Paperback,8.99,4.5,Poetry,North Carolina,South,1/1/2023,6.97,123
35,The Fall,Louise Jensen,Paperback,76,4,Thriller,Nevada,West,1/1/2023,58.9,320
36,The Girls Who Disappeared,Claire Douglas,Digital,8.99,5,Sci-Fi,California,West,1/1/2023,6.97,
37,Magnolia Parks: The Long Way Home,Jessa Hastings,Hardcover,12.9,4.5,Poetry,California,West,1/1/2023,10,138
38,Daisy Haites,Jessa Hastings,Digital,12.9,5,Thriller,New York,Northeast,1/1/2023,10,
39,The Mirror Man,Lars Kepler,Paperback,10.3,4.5,Romance,Texas,South,1/1/2023,7.98,114
40,Daisy Jones and The Six,Taylor Jenkins Reid,Paperback,9.99,5,Thriller,New Jersey,Northeast,1/1/2023,7.74,165
41,Normal People,Sally Rooney,Digital,9.99,4.5,Sci-Fi,Connecticut,Northeast,1/1/2023,7.74,
42,All Your Perfects,Colleen Hoover,Paperback,8.99,4.5,Poetry,Missouri,Midwest,1/1/2023,6.97,97
43,Malibu Rising,Taylor Jenkins Reid,Digital,97,5,Non Fiction,Washington,West,1/1/2023,75.17,
44,Death Comes to Marlow,Robert Thorogood,Digital,8.99,4,Comedy,California,West,1/1/2023,6.97,
45,The People on Platform 5,Clare Pooley,Paperback,8.99,5,Sci-Fi,South Dakota,Midwest,1/1/2023,6.97,133
46,The Covenant of Water,Abraham Verghese,Hardcover,20,3,Non Fiction,New Hampshire,Northeast,1/1/2023,15.5,153
47,Thrown,Sara Cox,Paperback,8.99,4.5,Sci-Fi,Oklahoma,South,1/1/2023,6.97,146
48,The Alchemist,Paulo Coelho,Paperback,9.99,4.5,Romance,Florida,South,1/1/2023,7.74,133
49,The Keeper of Stories,Sally Page,Paperback,8.99,5,Comedy,California,West,1/1/2023,6.97,169
50,I Have Something to Tell You,Susan Lewis,Paperback,8.99,4.5,Comedy,California,West,1/1/2023,6.97,168
51,Next in Line,Jeffrey Archer,Paperback,9.83,4.5,Comedy,Missouri,Midwest,1/1/2023,7.62,121
52,The Beekeeper of Aleppo,Christy Lefteri,Paperback,9.99,4.5,Sci-Fi,Arizona,West,1/1/2023,7.74,206
53,The House in the Olive Grove,Emma Cowell,Paperback,9.83,4,Non Fiction,Illinois,Midwest,1/1/2023,7.62,138
54,Killing Moon,Jo Nesbo,Hardcover,22,4.5,Thriller,Illinois,Midwest,1/1/2023,17.05,143
55,Stepping Up,Sarah Turner,Paperback,8.99,5,Sci-Fi,Pennsylvania,Northeast,1/1/2023,6.97,100
56,Time Shelter,Georgi Gospodinov,Paperback,47,4,Sci-Fi,Virginia,South,1/1/2023,36.43,196
57,Hopeless,Colleen Hoover,Paperback,8.99,4.5,Comedy,Idaho,West,1/1/2023,6.97,165
58,How to Kill Men and Get Away With It,Katy Brent,Paperback,8.99,4.5,Sci-Fi,Arizona,West,1/1/2023,6.97,159
59,A Court of Silver Flames,Sarah J. Maas,Paperback,9.99,5,Thriller,Nevada,West,1/1/2023,7.74,185
60,Summer Wedding,Sarah Morgan,Hardcover,9.83,4.5,Sci-Fi,New York,Northeast,1/1/2023,7.62,96
61,Shuggie Bain,Douglas Stuart,Paperback,9.99,4.5,Sci-Fi,North Carolina,South,1/1/2023,7.74,138
62,The Priory of the Orange Tree,Samantha Shannon,Paperback,10.9,4.5,Sci-Fi,Pennsylvania,Northeast,1/1/2023,8.45,189
63,The Island of Missing Trees,Elif Shafak,Paperback,9.99,4.5,Poetry,California,West,1/1/2023,7.74,109
64,Hamnet,Maggie O'Farrell,Digital,9.99,4.5,Sci-Fi,Illinois,Midwest,1/1/2023,7.74,
65,Wish You Were Here,Jodi Picoult,Paperback,9.99,4.5,Sci-Fi,Michigan,Midwest,1/1/2023,7.74,144
66,Carrie Soto Is Back,Taylor Jenkins Reid,Paperback,9.99,5,Sci-Fi,Arizona,West,1/1/2023,7.74,202
67,A Thousand Boy Kisses,Tillie Cole,Paperback,35,5,Poetry,Ohio,Midwest,1/1/2023,27.12,218
68,Just Got Real,Jane Fallon,Paperback,8.99,5,Thriller,Illinois,Midwest,1/1/2023,6.97,129
69,The Four Winds,Kristin Hannah,Paperback,87,5,Sci-Fi,California,West,1/1/2023,67.42,320
